,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
264,原町１丁目,7,5,6,6,4,2,6,5,2,8,8,3,11,8,2,5,5,5,7,12,9,8,7,8,13,14,7,10,10,11,10,18,14,10,10,14,9,12,7,11,7,13,17,11,10,22,7,18,8,12,18,10,16,5,13,18,13,9,9,8,12,8,7,10,9,11,6,5,7,4,4,8,9,13,4,3,5,8,1,7,1,3,2,2,2,4,1,2,4,0,0,0,0,1,1,0,0,0,0,0,0
265,原町２丁目,5,7,7,6,7,5,7,9,8,6,7,7,2,10,4,7,8,2,3,6,2,4,6,8,9,3,8,9,12,10,9,9,8,7,11,12,9,8,9,6,17,15,11,8,13,5,10,10,11,10,8,8,9,8,4,4,1,6,12,6,4,6,8,7,8,8,3,8,4,7,4,8,1,5,4,3,4,2,4,2,5,1,3,1,2,7,0,1,1,2,2,0,0,0,0,0,1,0,0,0,0
266,原町３丁目,6,1,4,3,3,5,6,0,8,3,5,6,2,1,0,5,2,4,2,4,7,6,6,13,8,14,6,15,10,7,6,9,5,11,12,9,15,10,7,13,8,8,9,5,10,7,7,16,12,8,7,8,8,6,12,8,9,5,6,4,4,5,6,3,5,3,4,3,4,7,7,6,2,5,4,1,1,1,3,5,0,3,1,1,3,3,2,3,1,1,0,1,1,1,0,0,0,0,0,0,1
267,原町４丁目,2,1,3,3,2,4,1,1,2,2,3,3,5,5,6,3,5,2,1,2,4,5,6,8,4,7,8,7,3,6,9,10,7,7,6,6,7,10,1,2,7,4,4,7,7,5,4,3,4,5,2,5,5,3,3,6,5,5,6,4,7,8,6,4,3,6,3,4,5,6,4,2,1,5,3,2,3,3,1,1,4,1,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
268,原町５丁目,4,4,1,1,2,0,3,2,1,7,3,1,3,1,0,3,2,2,4,7,4,5,11,10,7,9,8,8,6,9,9,7,7,6,6,7,9,16,11,6,10,8,6,2,4,6,12,9,12,6,7,7,2,9,6,2,6,8,7,4,8,3,9,3,7,5,4,8,5,10,8,7,8,5,3,5,4,1,4,1,4,0,3,7,1,1,2,3,2,2,0,1,0,2,0,1,1,1,0,0,0
269,原町６丁目,0,1,1,1,0,1,2,1,0,1,0,0,0,0,0,1,0,0,2,0,1,3,4,2,4,3,3,3,3,3,1,5,5,7,1,1,3,2,5,5,2,3,1,3,4,2,2,3,2,3,1,2,3,1,1,3,3,0,5,0,4,0,0,3,3,2,1,0,3,6,2,2,1,0,2,3,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
270,東仙台１丁目,4,6,2,8,1,4,3,8,5,6,7,4,5,2,4,6,9,4,9,9,11,6,11,13,22,14,14,19,9,15,12,15,8,10,11,14,6,18,12,6,8,9,11,9,10,12,15,12,6,10,8,11,14,7,6,6,12,7,8,8,10,9,12,6,6,8,8,6,10,10,7,9,8,8,6,7,4,4,8,9,8,5,1,8,3,3,3,4,2,0,2,4,1,2,3,0,0,0,1,0,0
271,東仙台２丁目,5,5,5,6,3,2,5,4,3,2,3,3,11,2,6,5,5,7,6,3,7,5,9,7,9,8,11,9,6,12,7,6,8,10,14,10,9,13,5,13,6,14,8,14,4,8,13,13,9,19,6,9,4,7,5,11,5,6,4,6,8,3,9,3,1,6,5,7,2,8,8,4,7,3,3,1,5,3,4,5,0,1,4,1,1,0,0,2,1,0,2,1,1,1,0,0,0,0,0,1,0
272,東仙台３丁目,5,3,2,2,2,2,1,0,4,1,2,2,1,1,0,1,1,0,2,3,6,1,8,3,8,2,6,5,8,7,3,3,5,5,8,8,6,3,4,4,7,5,3,7,6,4,5,4,8,3,7,8,4,3,5,4,8,4,2,4,9,8,4,2,2,2,5,4,5,4,5,6,10,2,2,3,4,3,1,3,2,5,3,3,3,0,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0
273,東仙台４丁目,8,9,8,13,15,7,19,11,16,16,19,13,9,11,8,11,7,8,7,10,6,8,3,5,4,7,6,10,6,10,10,9,13,6,19,8,13,7,18,14,13,25,19,10,24,16,24,15,18,15,16,16,12,16,19,10,11,7,12,5,13,12,7,7,3,4,3,14,6,6,2,7,2,1,2,2,6,2,2,2,2,1,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
274,東仙台５丁目,4,6,3,4,2,6,0,2,5,3,1,2,2,5,1,2,2,4,7,7,5,9,15,4,11,8,9,6,9,10,8,8,5,6,7,10,4,9,5,5,10,14,8,4,8,7,9,10,9,12,4,7,5,12,6,13,11,7,7,7,9,8,4,12,5,5,8,10,10,12,10,11,12,6,7,8,11,9,12,8,2,4,4,7,4,3,0,3,1,0,2,3,2,2,0,1,2,1,0,0,0
275,東仙台６丁目,6,1,5,5,5,2,3,6,5,4,7,10,8,7,3,4,7,5,9,5,5,6,6,11,5,4,6,3,9,7,9,6,9,10,7,4,9,2,8,8,9,4,9,3,10,10,14,10,9,11,2,8,7,11,8,15,4,11,12,9,5,5,7,8,6,9,5,7,11,4,7,4,5,7,4,3,4,7,3,1,5,2,2,3,3,6,1,0,5,1,1,1,2,0,0,2,0,0,0,0,0
276,東仙台７丁目,3,4,5,4,1,1,6,6,5,1,3,2,3,3,2,1,5,2,3,4,6,4,2,7,9,2,3,7,4,4,8,6,3,6,8,5,5,2,6,2,5,5,6,6,2,9,9,4,4,3,5,2,7,5,3,3,2,4,7,2,5,3,8,7,7,9,3,7,3,7,8,8,2,5,3,3,3,7,2,4,4,1,2,2,3,4,2,0,2,1,1,1,1,0,0,1,0,0,0,0,0
277,東宮城野,4,8,4,6,3,5,9,4,5,4,7,7,10,5,3,8,7,7,10,6,8,6,5,3,3,7,6,5,7,6,8,11,4,10,6,10,9,12,12,9,12,11,9,6,5,13,13,10,9,7,13,18,8,6,4,4,4,12,4,5,7,3,6,5,9,12,5,6,13,6,5,4,11,5,8,3,1,4,7,1,3,4,4,2,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
278,日の出町１丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
279,日の出町２丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
280,日の出町３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,福住町,4,5,5,4,3,10,7,6,7,10,6,10,3,7,4,1,5,6,6,6,19,14,7,8,16,8,6,13,10,10,15,10,16,8,10,6,13,13,10,11,9,11,15,11,19,11,19,17,9,12,8,16,10,12,13,10,12,7,14,7,6,14,10,2,7,11,4,14,12,9,13,14,7,12,2,7,6,7,9,3,3,7,4,5,6,4,3,2,2,3,3,0,0,1,2,0,0,0,0,0,0
282,福田町１丁目,7,3,9,5,6,8,6,7,6,8,8,6,4,6,6,9,7,6,9,7,8,5,6,12,6,15,7,8,11,13,4,9,15,8,9,9,9,14,8,7,14,8,6,9,12,9,13,12,12,12,9,9,10,6,11,15,8,8,10,10,11,4,10,11,8,4,11,6,8,2,5,9,8,3,3,3,2,4,3,3,2,1,1,1,2,0,3,2,2,1,2,1,1,1,0,1,0,1,0,0,0
283,福田町２丁目,11,15,16,12,12,19,12,15,14,10,12,14,11,5,7,13,10,6,7,6,19,11,18,18,28,30,25,25,21,36,27,23,22,29,26,31,26,24,15,28,20,23,22,26,34,28,29,28,26,22,21,27,18,15,19,15,17,25,14,18,14,24,9,18,18,8,16,14,12,14,15,18,12,10,9,11,9,13,4,9,7,3,5,4,5,3,7,3,2,0,2,1,0,3,0,1,0,0,0,0,0
284,福田町３丁目,3,2,0,2,3,3,3,2,4,2,2,4,2,4,2,4,2,3,1,3,1,4,3,1,3,3,1,5,2,4,6,2,5,7,0,1,4,6,5,5,5,6,1,3,5,5,8,3,6,2,6,3,5,5,8,1,3,2,2,3,4,4,4,3,1,4,3,1,3,4,4,2,5,3,2,4,1,1,1,1,3,0,1,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
285,福田町４丁目,1,2,6,3,5,1,2,2,2,5,3,5,4,4,4,4,2,3,5,6,5,6,3,9,7,3,1,10,8,3,4,7,3,3,6,6,6,5,8,8,3,3,3,7,3,6,4,8,7,8,6,15,7,6,8,4,4,6,2,4,1,6,2,2,6,6,4,3,8,2,6,4,5,4,2,4,2,1,5,2,3,0,5,3,2,0,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0
286,福田町南１丁目,2,1,1,1,1,1,3,0,4,1,1,1,0,0,2,0,1,1,0,1,0,0,2,2,3,2,2,7,1,3,3,2,3,2,3,6,5,2,3,4,3,4,3,1,4,2,4,1,3,6,1,2,3,0,3,1,2,2,1,1,0,1,2,1,1,0,0,1,1,0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
287,福田町南２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,2,1,1,1,3,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
302,福室,3,3,6,0,5,2,2,3,6,2,7,3,4,8,7,4,9,7,4,4,8,5,10,6,4,4,4,4,3,4,8,11,2,8,4,1,8,7,4,6,9,9,15,7,8,10,14,6,12,7,5,6,5,9,6,8,3,8,3,5,5,11,3,5,3,5,9,6,5,8,6,7,6,7,4,4,7,4,8,3,4,2,6,1,1,2,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0
303,福室１丁目,1,3,2,5,2,1,1,0,2,4,5,5,2,1,4,3,4,7,2,4,8,3,6,4,4,9,5,3,5,2,9,6,4,1,2,5,4,3,5,6,5,7,6,10,9,7,10,12,8,6,8,4,8,7,9,10,4,9,8,5,3,8,3,7,5,5,3,5,3,6,3,5,5,2,2,1,0,2,3,4,3,1,4,3,1,1,1,3,1,0,2,0,0,2,1,0,0,0,0,0,0
304,福室２丁目,6,7,2,3,5,6,10,4,4,6,3,4,9,5,8,8,10,11,5,14,8,10,12,12,9,17,12,12,9,13,12,11,11,14,6,13,14,8,13,8,6,17,13,14,20,18,12,24,20,16,19,16,31,16,11,20,8,14,12,14,10,18,11,14,19,15,10,12,17,14,14,20,18,14,4,7,8,3,4,7,9,7,4,1,3,1,0,2,2,2,0,1,1,2,0,0,0,0,0,0,0
305,福室３丁目,19,21,11,13,12,8,12,13,10,11,17,14,11,11,15,11,17,9,7,9,15,19,19,21,21,25,27,26,17,27,18,34,33,31,23,22,32,14,20,15,17,14,19,22,19,25,19,24,17,24,21,27,24,21,12,13,16,21,12,14,20,18,17,8,14,9,11,11,11,9,14,14,12,5,6,5,13,4,6,5,3,2,6,3,3,3,2,6,5,4,2,0,0,0,1,0,0,0,0,0,1
306,福室４丁目,6,7,5,8,15,5,10,5,10,4,6,11,5,4,7,2,7,8,2,8,3,7,5,4,5,5,5,10,4,10,1,6,8,9,12,15,11,10,8,10,14,12,12,12,5,8,9,8,8,7,8,7,6,6,4,4,7,7,6,2,9,5,2,4,3,4,5,5,6,4,6,9,11,10,7,7,11,3,1,5,5,3,3,7,2,2,0,1,4,0,1,2,1,1,1,0,0,0,0,0,0
307,福室５丁目,11,11,8,9,6,10,3,11,13,9,6,10,13,7,12,11,12,11,14,20,15,16,9,12,15,16,13,10,8,9,11,15,13,14,8,14,10,16,16,17,15,14,13,16,17,27,19,10,20,15,18,18,21,7,13,8,9,7,12,10,10,10,7,11,17,8,16,9,10,15,24,7,17,7,9,5,16,7,12,10,11,12,10,3,7,5,2,6,2,1,0,2,0,1,1,0,0,0,0,0,0
308,福室６丁目,8,5,6,10,13,11,12,7,9,11,12,16,14,10,13,15,17,9,13,21,8,18,9,17,9,14,9,18,9,11,12,10,15,6,9,13,5,8,10,12,13,11,14,12,16,15,18,18,13,17,16,17,16,15,11,13,10,17,9,8,13,10,12,6,6,6,11,9,9,12,14,11,16,10,9,7,7,9,4,8,7,10,4,7,8,8,3,5,2,3,2,1,2,0,0,1,0,0,0,0,0
309,福室７丁目,6,5,5,5,0,2,8,7,2,7,2,5,3,5,7,3,6,7,7,4,9,7,12,11,6,7,6,14,6,13,5,3,7,4,6,8,4,8,4,7,10,9,14,6,9,12,4,7,8,12,7,6,15,8,13,11,10,4,9,9,4,15,6,4,5,6,16,15,7,8,5,5,10,1,4,3,6,4,1,5,1,1,7,4,2,5,4,1,3,4,1,2,1,2,0,0,1,0,0,0,0
310,平成１丁目,5,2,3,2,2,1,6,2,3,2,6,5,4,4,3,3,5,6,8,4,8,2,8,10,8,10,10,19,11,14,9,7,12,14,15,14,14,16,8,6,5,10,14,19,12,8,19,13,15,16,10,11,8,9,11,11,13,10,13,12,12,12,12,8,8,11,10,8,9,12,10,8,7,13,1,7,8,5,5,3,5,8,3,7,4,3,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0
311,平成２丁目,5,1,3,4,2,1,0,4,3,3,6,2,7,4,5,4,4,4,7,4,8,4,6,8,3,9,6,7,12,8,12,8,8,8,14,13,16,10,17,9,8,5,9,5,7,13,4,11,14,10,17,13,11,7,10,6,8,9,16,7,11,9,5,11,14,11,9,14,4,10,17,9,14,5,4,5,7,1,7,4,2,6,2,5,4,5,1,4,2,4,2,1,3,2,1,0,0,0,1,0,1
312,枡江,8,3,2,3,4,1,1,0,2,3,6,4,5,5,1,3,1,4,1,2,1,3,1,2,6,6,6,5,4,10,0,5,8,9,3,4,2,6,7,0,4,4,6,7,2,4,4,3,2,8,6,5,8,2,1,4,0,3,8,2,5,5,2,4,3,3,3,5,3,2,2,0,0,2,4,3,0,1,0,0,1,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
313,松岡町,0,0,0,0,0,1,3,3,0,1,2,1,1,2,1,1,0,1,2,1,0,1,0,1,1,2,0,1,1,1,2,2,1,2,1,2,3,3,2,0,2,0,1,1,0,4,2,2,0,2,0,0,2,3,6,1,1,1,0,1,1,1,3,0,2,1,2,3,1,0,2,2,4,2,0,1,3,0,2,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
314,南目館,7,4,6,4,6,6,8,7,7,2,7,6,4,3,2,6,3,8,1,17,34,58,40,42,38,31,17,23,16,26,14,20,17,15,23,15,6,9,11,9,5,13,17,10,11,15,11,15,11,13,15,14,18,10,12,5,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,宮城野１丁目,9,6,1,4,6,8,1,5,10,3,4,6,5,12,3,4,5,5,4,7,8,7,14,12,19,20,10,15,11,10,14,11,14,6,6,15,5,16,11,17,8,14,12,10,14,7,8,10,7,10,5,15,10,8,4,8,6,11,7,6,4,6,15,6,8,5,6,7,3,7,13,14,14,5,7,3,7,9,4,5,3,2,5,1,4,1,2,2,2,4,1,0,1,1,1,0,0,0,1,0,0
316,宮城野２丁目,6,4,9,10,4,7,8,9,7,11,5,7,5,10,7,10,8,11,5,9,7,8,6,4,12,14,21,11,16,11,14,12,10,5,9,13,12,6,9,7,9,8,12,17,7,10,10,11,12,11,10,9,9,5,12,4,11,5,14,9,14,19,11,6,7,6,5,3,3,5,10,6,13,5,6,7,5,7,1,2,4,2,4,2,3,0,1,1,4,1,1,1,1,0,0,1,0,0,0,1,0
317,宮城野３丁目,7,10,8,11,12,6,4,3,4,6,7,2,5,5,5,5,7,5,5,4,9,6,4,7,4,7,8,8,9,7,6,6,21,12,7,18,8,7,11,8,10,9,5,8,13,12,8,7,6,6,5,7,5,5,2,7,8,5,10,8,5,12,13,4,8,4,4,6,7,9,4,7,8,2,5,1,2,2,2,0,3,0,0,1,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
318,宮千代１丁目,4,4,6,4,6,6,7,5,4,7,3,3,5,6,7,7,5,7,5,3,8,7,10,14,21,16,14,10,16,19,13,15,15,16,10,14,18,10,18,7,16,10,19,14,23,15,9,16,14,16,12,10,12,6,11,6,8,9,3,8,10,10,13,7,9,4,16,11,7,9,14,14,8,5,1,4,11,2,0,2,2,2,4,0,5,4,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0
319,宮千代２丁目,8,7,2,9,5,2,1,2,5,7,4,4,8,3,7,6,0,6,6,3,4,6,7,9,9,10,9,6,4,7,6,13,7,9,15,10,4,12,13,8,15,8,8,10,9,15,8,14,11,7,8,11,6,6,8,4,9,9,11,6,9,6,3,3,8,6,5,4,3,2,9,4,4,2,5,1,8,3,2,3,5,0,1,2,3,2,2,0,0,3,1,0,0,1,0,0,0,0,0,0,0
320,宮千代３丁目,6,3,2,4,1,5,7,4,2,6,6,9,2,4,5,6,5,3,3,8,3,4,7,8,8,7,5,11,13,12,7,10,10,12,15,12,6,8,14,8,9,6,7,14,11,6,7,7,8,7,7,9,7,4,8,12,9,10,5,10,10,3,4,2,3,7,5,6,6,5,5,7,5,2,3,3,3,3,4,5,3,3,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
321,元寺小路,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,3,3,4,10,6,7,1,3,2,9,1,2,1,5,4,0,4,1,5,1,2,2,1,0,2,1,1,2,1,2,1,1,1,3,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
